match_id,season_id,date,home_team_id,away_team_id,goal_home_ft,goal_away_ft
145,1,2011-04-23,12,13,2,2
146,1,2011-04-23,19,5,1,1
147,1,2010-10-23,11,1,2,0
148,1,2010-10-23,20,19,2,0
149,1,2010-10-23,8,15,1,0
150,1,2010-10-23,12,16,1,1
151,1,2010-10-23,13,5,2,1
152,1,2010-10-23,14,17,1,2
153,1,2010-10-23,18,9,1,1
154,1,2010-09-25,10,13,2,3
155,1,2010-09-25,11,18,0,0
156,1,2010-09-25,1,6,1,2
157,1,2010-09-25,5,16,0,0
158,1,2010-09-25,2,8,2,2
159,1,2010-09-25,7,20,1,0
160,1,2010-09-25,14,12,1,0
161,1,2011-02-26,15,6,4,1
162,1,2011-02-26,16,8,2,0
163,1,2011-02-26,17,9,1,1
164,1,2011-02-26,18,3,0,4
165,1,2011-02-26,19,1,4,0
166,1,2010-11-27,15,10,2,4
167,1,2010-11-27,9,1,2,2
168,1,2010-11-27,16,13,1,4
169,1,2010-11-27,5,11,1,1
170,1,2010-11-27,3,6,7,1
171,1,2010-11-27,4,7,1,1
172,1,2010-11-27,14,18,3,1
173,1,2010-11-27,19,8,3,2
174,1,2010-08-28,6,10,1,2
175,1,2010-08-28,1,5,2,2
176,1,2010-08-28,20,4,2,0
177,1,2010-08-28,3,14,3,0
178,1,2010-08-28,12,18,0,1
179,1,2010-08-28,19,17,1,1
180,1,2011-04-30,6,9,1,0
181,1,2011-04-30,1,4,0,0
182,1,2011-04-30,20,12,2,1
183,1,2011-04-30,8,5,0,3
184,1,2011-04-30,13,15,2,1
185,1,2011-04-30,18,16,1,1
186,1,2010-10-30,10,14,1,0
187,1,2010-10-30,6,20,1,2
188,1,2010-10-30,16,4,1,0
189,1,2010-10-30,5,18,2,0
190,1,2010-10-30,3,12,2,0
191,1,2010-10-30,19,7,2,1
192,1,2010-12-04,10,5,2,1
193,1,2010-12-04,11,12,1,1
194,1,2010-12-04,6,19,3,0
195,1,2010-12-04,20,16,1,1
196,1,2010-12-04,7,9,1,0
197,1,2010-12-04,18,4,2,2
198,1,2011-02-05,15,5,2,2
199,1,2011-02-05,16,1,5,3
200,1,2011-02-05,7,13,3,0
201,1,2011-02-05,17,10,4,4
202,1,2011-02-05,4,8,3,2
203,1,2011-02-05,12,9,2,1
204,1,2011-02-05,18,6,4,3
205,1,2011-02-05,19,3,2,1
206,1,2011-03-05,10,8,0,0
207,1,2011-03-05,11,13,1,3
208,1,2011-03-05,9,15,3,2
209,1,2011-03-05,5,6,3,2
210,1,2011-03-05,7,18,1,0
211,1,2011-03-05,17,16,1,2
212,1,2011-03-05,14,4,3,0
213,1,2010-11-06,11,14,2,2
214,1,2010-11-06,6,18,2,1
215,1,2010-11-06,1,16,2,2
216,1,2010-11-06,9,12,4,2
217,1,2010-11-06,5,15,1,1
